firstName,lastName,position,team,playerId,birthdate,points,lower,upper,sdPts,positionRank,dropoff,tier,vor,overallRank,adp,aav,adpDiff,exp,ecrPosition,sdRank,ecrRank,risk
Aaron,Rodgers,QB,GB,2506363,12/2/83,337.7464811,299.539144,364.5177333,30.68704889,1,27.47544,1,324.7464811,1,15.945,15.64,-14.945,12,1.1,0.3,34,4.282466155
Tom,Brady,QB,NE,2504211,8/3/77,322.5903278,269.17092,353.8868267,46.36554996,2,25.07521722,2,309.5903278,2,23.43,11.59,-21.43,17,2.1,0.6,37.5,5.470549406
Drew,Brees,QB,NO,2504775,1/15/79,297.9517544,280.264318,314.7316267,20.19070196,3,8.609260556,3,284.9517544,3,35.465,9.74,-32.465,16,3,0.7,42.4,3.917651804
Matt,Ryan,QB,ATL,310,5/17/85,297.0784667,270.53206,320.1208,21.36099669,4,25.38195944,3,284.0784667,4,46.195,8.72,-42.195,9,5.6,2.4,62.2,5.20854332
Russell,Wilson,QB,SEA,2532975,11/29/88,281.6065211,253.9391713,303.1412,22.48683367,5,20.50969278,4,268.6065211,5,60.78,8.24,-55.78,5,5,1.3,59.5,4.49013562
Dak,Prescott,QB,DAL,2555260,7/29/93,261.7864933,238.269208,286.4852667,25.04976851,6,1.986108333,5,248.7864933,6,96.02,7,-90.02,1,12.3,2.8,97.9,5.724138011
Derek,Carr,QB,OAK,2543499,3/28/91,260.4071633,236.4139807,286.8855333,32.53539679,7,2.127210556,5,247.4071633,7,64.845,8.93,-57.845,3,11.6,3,93.4,6.332062901
Cam,Newton,QB,CAR,2495455,5/11/89,259.1936067,237.656712,281.659,26.41661338,8,2.215063333,5,246.1936067,8,79.475,7.52,-71.475,6,9.5,3.1,85,6.023958587
Ben,Roethlisberger,QB,PIT,2506109,3/2/82,257.3662989,246.756318,271.51872,17.29197852,9,1.1585,5,244.3662989,9,92.97,4.65,-83.97,13,11.2,3.4,92.1,5.672618339
Andrew,Luck,QB,IND,2533031,9/12/89,256.5907878,236.2681047,273.4344667,20.46822325,10,1.722441111,5,243.5907878,10,83.84,9.74,-73.84,5,10.2,3.7,83.8,6.084740548
Jameis,Winston,QB,TB,2552033,1/6/94,255.82481,228.899938,273.5812,22.36888768,11,2.070615556,6,242.82481,11,70.96,8.7,-59.96,2,9.3,2.8,83.4,5.557747319
Marcus,Mariota,QB,TEN,2552466,10/30/93,253.9118833,224.28773,270.574,23.57273104,12,0.829043889,6,240.9118833,12,77.91,7.88,-65.91,2,8.2,2.7,80.2,5.560802537
Kirk,Cousins,QB,WAS,2532820,8/19/88,253.5965056,234.40691,272.01364,21.578581,13,4.746184603,6,240.5965056,13,79.96,6.74,-66.96,5,8.1,2.7,75.5,5.437034258
Matthew,Stafford,QB,DET,79860,2/7/88,252.5691733,231.6727653,269.9794733,23.06755426,14,9.018807937,6,239.5691733,14,108.7,5.01,-94.7,8,13,3,102.8,5.744434815
Philip,Rivers,QB,LAC,2506121,12/8/81,245.1314686,218.455452,265.2716,30.58482665,15,7.122706349,7,232.1314686,15,104.115,4.17,-89.115,13,12.9,2.9,100.3,6.139337299
Andy,Dalton,QB,CIN,2495143,10/29/87,241.9692622,224.1712387,265.6798667,26.4933243,16,8.182117778,7,228.9692622,16,125.59,3.26,-109.59,6,15.5,2.6,114,5.670409004
Tyrod,Taylor,QB,BUF,2495240,8/3/89,234.0482622,225.7753987,244.8914667,8.030859753,17,3.021814444,8,221.0482622,17,150.68,2.59,-133.68,6,19,2.9,130.1,4.739510005
Carson,Palmer,QB,ARI,2505245,12/27/79,233.5260267,217.984948,260.316,18.67392832,18,11.32356722,8,220.5260267,18,140.305,2.27,-122.305,14,18.4,2.1,129.1,4.826782175
Eli,Manning,QB,NYG,2505996,1/3/81,228.5268689,195.323744,246.32608,29.40690197,19,13.15224333,9,215.5268689,19,126.085,3.11,-107.085,13,16.8,2.5,121.3,5.779580043
Carson,Wentz,QB,PHI,2555259,12/30/92,215.87805,186.8520767,244.8189333,32.65141195,20,2.289107222,10,202.87805,20,129.79,4.52,-109.79,1,19,2.1,132,5.694304202
Joe,Flacco,QB,BAL,382,1/16/85,214.8712011,196.7357553,231.1169333,20.80562834,21,7.660457222,10,201.8712011,21,157.64,2.08,-136.64,9,22.7,2.3,163.4,5.102411866
Alex,Smith,QB,KC,2506340,5/7/84,212.3066844,197.3367267,240.0389333,17.38163341,22,10.88506611,10,199.3066844,22,155.935,1.91,-133.935,12,24,2.3,174.3,4.889899292
Sam,Bradford,QB,MIN,497095,11/8/87,202.1148033,189.4524507,214.5859333,12.13538739,23,16.46492056,11,189.1148033,23,160.78,1.91,-137.78,7,22.6,2.6,162.1,4.779273885
Jay,Cutler,QB,MIA,2495824,4/29/83,200.7284333,127.7439333,223.7478933,72.83311181,24,39.53181333,12,187.7284333,24,156.56,1.69,-132.56,11,22.5,2.6,160.7,8.546519429
David,Johnson,RB,ARI,2553435,12/16/91,214.4768367,202.5576,224.6532267,10.53914853,1,39.32553406,1,186.4768367,25,1.535,23.04,23.465,2,1.2,0.4,1.2,3.310494859
LeVeon,Bell,RB,PIT,2540175,2/18/92,187.2527785,168.8596,219.2547714,40.97752668,2,25.41480354,2,159.2527785,26,2.415,23.41,23.585,4,1.8,0.4,1.8,7.043606151
Blake,Bortles,QB,JAC,2543477,12/16/91,170.5713322,122.3543333,210.4974667,48.19522829,25,19.16784396,12,157.5713322,27,175.17,2.28,-148.17,3,25.6,4.1,176.7,8.092284531
Justin,Tucker,K,BAL,2536340,11/21/89,153.7186068,143.0828105,162.42,9.15873777,1,0.619265868,1,152.7186068,28,128.805,1.53,-100.805,5,1.6,1.1,171.3,2.576827598
